sender,subject,capture_timestamp,user_decision
notification@priority.facebookmail.com,Facebook,2025-09-03T09:41:15.073Z,Archive
notification@priority.facebookmail.com,Facebook,2025-09-03T09:46:37.002Z,Delete
notification@priority.facebookmail.com,Facebook,2025-09-03T09:48:27.836Z,Delete
notification@priority.facebookmail.com,Facebook,2025-09-03T09:48:30.090Z,Delete
support@sc.mail.deepseek.com,DeepSeek,2025-09-03T10:17:11.719Z,Delete
verveai@verve-ai.intercom-mail.com,Ryan from Verve AI,2025-09-03T10:17:44.518Z,Archive
noreply.news@e-mail.hoyoverse.com,She triggers a new Elemental reaction? Limited-time boosted drop rate for Ineffa | Genshin Impact,2025-09-03T10:24:55.541Z,Report spam
admin@cintindex.com,Survey invitation from MetroOpinion.com/in,2025-09-03T10:25:28.026Z,Report spam
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T10:30:09.419Z,Delete
kontakt@wolfeye.de,Wolfeye Software Questions and Support,2025-09-03T10:30:33.658Z,Report spam
no-reply@accounts.google.com,Security alert,2025-09-03T10:32:57.896Z,Report spam
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T10:33:03.347Z,Delete
notification@priority.facebookmail.com,Updates for you: 1 message and 1 new notification,2025-09-03T10:40:07.929Z,Delete
Updates for you: 1 message and 1 new notification,notification@priority.facebookmail.com,2025-09-03T10:44:59.087Z,Delete
Your Amazon Seller services Private limited shipment (AWB 13371688232092) is out for delivery,noreply@delhivery.com,2025-09-03T10:47:16.446Z,Delete
support@japanesepod101.com,If you STILL want to learn Japanese,2025-09-03T11:38:51.340Z,Delete
notification@priority.facebookmail.com,Updates for you: 1 message and 1 new notification,2025-09-03T11:38:57.130Z,Delete
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T11:38:58.760Z,Archive
support@japanesepod101.com,Ever wanted to learn Japanese with a teacher?,2025-09-03T11:39:04.970Z,Report spam
support@japanesepod101.com,3 practical secrets to learning Japanese,2025-09-03T11:39:11.812Z,Delete
support@japanesepod101.com,Your dream of learning Japanese is easy with this,2025-09-03T11:39:13.523Z,Delete
support@japanesepod101.com,Your Japanese learning path is ready. Are you?,2025-09-03T11:39:14.328Z,Delete
support@japanesepod101.com,Start speaking Japanese from your first lesson,2025-09-03T11:39:14.933Z,Delete
support@japanesepod101.com,Your Japanese learning starts today with JapanesePod101,2025-09-03T11:39:15.385Z,Delete
support@japanesepod101.com,Activate Your JapanesePod101 Account and Get Your Free Bonus!,2025-09-03T11:39:16.040Z,Delete
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T11:39:16.585Z,Delete
admin@cintindex.com,Reminder: Your invitation from MetroOpinion.com/in,2025-09-03T11:39:17.187Z,Delete
noreply.news@e-mail.hoyoverse.com,Your Primogem redemption codes are here | Genshin Impact,2025-09-03T11:39:19.137Z,Archive
no-reply@email.myiq.com,Your IQ Score Is Ready! ,2025-09-03T11:39:20.464Z,Delete
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T11:39:21.713Z,Delete
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T11:39:23.582Z,Archive
noreply.news@e-mail.hoyoverse.com,Version 5.6 is live! New Fontaine character Escoffier's Event Wish is now available! | Genshin Impact,2025-09-03T11:39:24.851Z,Archive
noreply@delhivery.com,Your Amazon Seller services Private limited shipment (AWB 13371568419974) is delivered,2025-09-03T11:39:25.985Z,Delete
noreply@delhivery.com,Your Amazon Seller services Private limited shipment (AWB 13371568419974) is out for delivery,2025-09-03T11:39:26.521Z,Delete
noreply@delhivery.com,Your Amazon Seller services Private limited shipment (AWB 13371568419974) has been shipped for delivery,2025-09-03T11:39:26.956Z,Delete
notification@priority.facebookmail.com,Update for you: 1 message,2025-09-03T11:39:27.469Z,Delete
noreply@delhivery.com,Your ADRET RETAIL PRIVATE LIMITED shipment (AWB 17997327982042) is delivered,2025-09-03T11:39:28.072Z,Delete
noreply@delhivery.com,Your ADRET RETAIL PRIVATE LIMITED shipment (AWB 17997327982042) is out for delivery,2025-09-03T11:39:28.507Z,Delete
noreply.news@e-mail.hoyoverse.com,Primogem redemption codes have been issued. Claim now >>> | Genshin Impact,2025-09-03T11:39:30.035Z,Archive
noreply.news@e-mail.hoyoverse.com,"Reaper, you're about to miss out on the Event Wish for event-exclusive characters ""Varesa"" and ""Xianyun"" | Genshin Impact",2025-09-03T11:39:32.229Z,Archive
noreply@email.hoyoverse.com,HoYoverse Account Tips,2025-09-03T11:39:34.354Z,Archive
kontakt@wolfeye.de,Wolfeye: Video-mensaje para ti,2025-09-03T11:39:35.657Z,Archive
notification@priority.facebookmail.com,You have 2 notifications about Sahil and others,2025-09-03T11:39:37.891Z,Delete
noreply.news@e-mail.hoyoverse.com,"Rumble, rumble! Is there an earthquake near the volcano? Unravel the mystery >>> | Genshin Impact",2025-09-03T11:39:40.431Z,Archive
kontakt@wolfeye.de,Wolfeye Support,2025-09-03T11:39:42.005Z,Archive
updates@txmail.spiceworks.com,Please confirm your email address to get started,2025-09-03T11:39:44.525Z,Delete
noreply.news@e-mail.hoyoverse.com,Now released! Redeem your Primogem rewards now | Genshin Impact,2025-09-03T11:39:45.840Z,Archive
notification@priority.facebookmail.com,You have 3 notifications about Sahil and others,2025-09-03T11:39:48.360Z,Delete
notification@priority.facebookmail.com,Updates for you: 1 message and 1 new notification,2025-09-03T11:39:48.860Z,Delete
googleplay-noreply@google.com,Upcoming changes to your settings,2025-09-03T11:39:49.330Z,Delete
notification@priority.facebookmail.com,Updates for you: 1 message and 2 new notifications,2025-09-03T11:39:51.512Z,Delete
noreply.news@e-mail.hoyoverse.com,Version 5.4 now available! | Genshin Impact,2025-09-03T11:39:52.659Z,Archive
notification@priority.facebookmail.com,Updates for you: 1 message and 2 new notifications,2025-09-03T11:39:53.732Z,Delete
noreply@delhivery.com,Your Amazon Seller services Private limited shipment (AWB 13371656015480) is delivered,2025-09-03T11:39:54.680Z,Delete
noreply@delhivery.com,Your Amazon Seller services Private limited shipment (AWB 13371656015480) is out for delivery,2025-09-03T11:39:55.151Z,Delete
noreply@delhivery.com,Your Amazon Seller services Private limited shipment (AWB 13371656015480) has been shipped for delivery,2025-09-03T11:39:55.636Z,Delete
notification@priority.facebookmail.com,Updates for you: 1 message and 3 new notifications,2025-09-03T11:39:56.661Z,Archive
notification@priority.facebookmail.com,Updates for you: 1 message and 3 new notifications,2025-09-03T11:39:57.196Z,Archive
notification@priority.facebookmail.com,Updates for you: 1 message and 3 new notifications,2025-09-03T11:39:57.649Z,Archive
